Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11,6577203,HP649357,10/26/2008 05:00:00 PM,058XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,822,8.0,14.0,63.0,08B,1156052.0,1865629.0,2008,02/28/2018 03:56:25 PM,41.78707194,-87.703370418,"(41.78707194, -87.703370418)"
12,8373423,HT607627,11/19/2011 09:00:00 AM,014XX N ELK GROVE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1424,14.0,1.0,24.0,05,1163879.0,1910100.0,2011,02/04/2016 06:33:39 AM,41.908943821,-87.673419207,"(41.908943821, -87.673419207)"
13,3298634,HK328238,04/25/2004 04:00:00 PM,076XX S HALSTED ST,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,OTHER,False,False,621,6.0,17.0,71.0,17,1172289.0,1854284.0,2004,02/28/2018 03:56:25 PM,41.755598022,-87.644169941,"(41.755598022, -87.644169941)"
14,8699049,HV375446,07/10/2012 07:59:00 AM,042XX S INDIANA AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,213,2.0,3.0,38.0,16,1178307.0,1876868.0,2012,02/04/2016 06:33:39 AM,41.817436341,-87.621430287,"(41.817436341, -87.621430287)"
15,9522880,HX178073,03/09/2014 12:30:00 PM,019XX W MADISON ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SPORTS ARENA/STADIUM,True,False,1223,12.0,27.0,28.0,10,1163655.0,1900042.0,2014,02/04/2016 06:33:39 AM,41.881348623,-87.674525788,"(41.881348623, -87.674525788)"
16,10135550,HY318953,06/28/2015 03:50:00 AM,047XX W FULTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1113,11.0,28.0,25.0,08B,1144796.0,1901372.0,2015,02/10/2018 03:50:01 PM,41.88537469,-87.743742141,"(41.88537469, -87.743742141)"
17,3447250,HK514345,07/23/2004 12:00:00 AM,009XX W GRACE ST,0820,THEFT,$500 AND UNDER,OTHER,False,False,2324,19.0,44.0,6.0,06,1169111.0,1925516.0,2004,02/28/2018 03:56:25 PM,41.95113401,-87.653750509,"(41.95113401, -87.653750509)"
18,2681993,HJ283703,04/06/2003 03:00:00 PM,002XX N LOREL AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1523,15.0,28.0,25.0,18,1140669.0,1901172.0,2003,02/28/2018 03:56:25 PM,41.884902673,-87.758902361,"(41.884902673, -87.758902361)"
19,1932758,HH104177,01/02/2002 05:00:00 PM,023XX S STATE ST,0460,BATTERY,SIMPLE,CHA APARTMENT,False,True,2113,1.0,,,08B,1176681.0,1888910.0,2002,10/26/2018 04:01:05 PM,41.850517353,-87.627031661,"(41.850517353, -87.627031661)"
20,7315747,HS119810,01/14/2010 01:00:00 AM,022XX N NATCHEZ AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE-COMMERCIAL,False,False,2512,25.0,36.0,19.0,14,1132712.0,1914326.0,2010,02/10/2018 03:50:01 PM,41.921141403,-87.787815054,"(41.921141403, -87.787815054)"
21,2409901,HH725517,10/19/2002 09:15:00 PM,133XX S BRANDON AVE,0460,BATTERY,SIMPLE,STREET,False,False,433,4.0,10.0,55.0,08B,1199439.0,1817209.0,2002,02/28/2018 03:56:25 PM,41.653220991,-87.54591594,"(41.653220991, -87.54591594)"
22,2265520,HH543376,07/29/2002 11:23:05 AM,036XX S LAKE PARK AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,2122,2.0,4.0,36.0,07,1182266.0,1881201.0,2002,02/28/2018 03:56:25 PM,41.829235481,-87.606773297,"(41.829235481, -87.606773297)"
23,6593888,HP646969,10/23/2008 08:00:00 PM,003XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,False,False,123,1.0,2.0,32.0,06,1177339.0,1898916.0,2008,02/10/2018 03:50:01 PM,41.877959571,-87.624313409,"(41.877959571, -87.624313409)"
24,10473781,HZ213126,04/04/2016 02:34:00 PM,001XX W 72ND ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,ALLEY,True,False,731,7.0,6.0,69.0,15,1176791.0,1857254.0,2016,02/10/2018 03:50:01 PM,41.763647895,-87.627581996,"(41.763647895, -87.627581996)"
25,3376825,HK428100,06/13/2004 06:00:00 AM,078XX S PHILLIPS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,421,4.0,7.0,43.0,07,1193891.0,1853377.0,2004,02/10/2018 03:50:01 PM,41.752607015,-87.565034748,"(41.752607015, -87.565034748)"
26,11143513,JA503877,11/08/2017 01:10:00 PM,025XX W BERWYN AVE,0560,ASSAULT,SIMPLE,STREET,False,False,2011,20.0,40.0,4.0,08A,1158349.0,1935109.0,2017,02/10/2018 03:50:01 PM,41.977685067,-87.693047613,"(41.977685067, -87.693047613)"
27,3682751,HK783218,09/05/2004 06:00:00 PM,077XX S PEORIA ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,621,6.0,17.0,71.0,11,1171649.0,1853451.0,2004,02/28/2018 03:56:25 PM,41.753326207,-87.646539749,"(41.753326207, -87.646539749)"
28,9365306,HW508438,10/26/2013 01:45:00 PM,008XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,GOVERNMENT BUILDING/PROPERTY,False,False,1833,18.0,42.0,8.0,06,1177330.0,1906499.0,2013,02/10/2018 03:50:01 PM,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
29,7763508,HS571664,09/30/2010 09:00:00 PM,0000X W DIVISION ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BAR OR TAVERN,False,False,1824,18.0,42.0,8.0,11,1175906.0,1908369.0,2010,02/10/2018 03:50:01 PM,41.903931469,-87.629290187,"(41.903931469, -87.629290187)"
30,1496484,G223033,03/20/2001 12:01:00 AM,065XX S JUSTINE ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,True,725,7.0,,,10,1167101.0,1860991.0,2001,08/17/2015 03:03:40 PM,41.774115391,-87.662991148,"(41.774115391, -87.662991148)"
31,2718013,HJ347909,05/06/2003 10:30:00 PM,065XX S ELLIS AVE,3960,INTIMIDATION,INTIMIDATION,APARTMENT,False,True,321,3.0,20.0,42.0,26,1184011.0,1861932.0,2003,02/28/2018 03:56:25 PM,41.776319164,-87.600973423,"(41.776319164, -87.600973423)"
32,12037807,JD217598,04/26/2020 01:55:00 PM,053XX W BLOOMINGDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2532,25.0,37.0,25.0,08B,1140326.0,1911447.0,2020,05/03/2020 03:47:20 PM,41.91310479,-87.759909733,"(41.91310479, -87.759909733)"
33,12592835,JF113360,01/15/2022 03:59:00 AM,011XX S WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,1225,12.0,28.0,28.0,14,1160554.0,1894864.0,2022,01/22/2022 03:48:02 PM,41.867204467,-87.686055895,"(41.867204467, -87.686055895)"
34,12252122,JD467371,12/19/2020 12:00:00 AM,005XX W DIVISION ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1823,18.0,27.0,8.0,06,1172284.0,1908265.0,2020,12/26/2020 03:51:09 PM,41.903726889,-87.64259764,"(41.903726889, -87.64259764)"
35,7712225,HS518443,09/16/2010 12:00:00 PM,059XX S KEDVALE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,813,8.0,13.0,65.0,05,1149720.0,1864882.0,2010,02/10/2018 03:50:01 PM,41.785147021,-87.726606619,"(41.785147021, -87.726606619)"
36,10348890,HY539692,12/16/2015 05:00:00 PM,031XX S HALSTED ST,2027,NARCOTICS,POSS: CRACK,POLICE FACILITY/VEH PARKING LOT,True,False,913,9.0,11.0,60.0,18,1171479.0,1884120.0,2015,02/10/2018 03:50:01 PM,41.837489008,-87.646264459,"(41.837489008, -87.646264459)"
37,7533272,HS335938,05/31/2010 05:00:00 PM,001XX S PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1122,11.0,28.0,26.0,08B,1149756.0,1898890.0,2010,02/10/2018 03:50:01 PM,41.87846885,-87.725592492,"(41.87846885, -87.725592492)"
38,11366391,JB331365,07/01/2018 11:55:00 PM,001XX N DAMEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1223,12.0,27.0,28.0,08B,1163055.0,1900872.0,2018,07/08/2018 04:08:06 PM,41.883638831,-87.676705638,"(41.883638831, -87.676705638)"
39,3332372,HK373656,05/18/2004 04:30:00 PM,048XX N AVERS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1712,17.0,39.0,14.0,07,1149836.0,1932026.0,2004,02/28/2018 03:56:25 PM,41.969395454,-87.724434795,"(41.969395454, -87.724434795)"
40,11846180,JC455001,09/30/2019 09:20:00 PM,007XX W 103RD ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,2232,22.0,34.0,49.0,04B,1173011.0,1836553.0,2019,10/18/2019 04:02:59 PM,41.706925829,-87.642045876,"(41.706925829, -87.642045876)"
41,2875093,HJ526180,07/29/2003 10:08:00 AM,029XX S FEDERAL ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),CHA PARKING LOT/GROUNDS,True,False,2113,1.0,3.0,35.0,18,1176116.0,1885609.0,2003,02/28/2018 03:56:25 PM,41.841471897,-87.629204627,"(41.841471897, -87.629204627)"
42,4529992,HM112637,01/08/2006 06:55:00 AM,077XX S PHILLIPS AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,421,4.0,7.0,43.0,08B,1193874.0,1854079.0,2006,02/10/2018 03:50:01 PM,41.754533775,-87.565074073,"(41.754533775, -87.565074073)"
43,2275373,HH554777,08/03/2002 04:00:00 AM,016XX W ADDISON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,1923,19.0,47.0,6.0,03,1164930.0,1923972.0,2002,02/10/2018 03:50:01 PM,41.946987144,-87.669163602,"(41.946987144, -87.669163602)"
44,4166383,HL498401,07/18/2005 03:15:00 PM,003XX E 55TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,234,2.0,20.0,40.0,14,1179459.0,1868298.0,2005,02/28/2018 03:56:25 PM,41.793893249,-87.617466306,"(41.793893249, -87.617466306)"
45,10833453,JA135394,01/30/2017 12:00:00 PM,0000X E MADISON ST,0890,THEFT,FROM BUILDING,OTHER,False,False,112,1.0,42.0,32.0,06,1176674.0,1900411.0,2017,02/14/2017 03:49:42 PM,41.882076985,-87.626709904,"(41.882076985, -87.626709904)"
46,4000935,HL360720,05/16/2005 10:45:00 PM,029XX S DEARBORN ST,0460,BATTERY,SIMPLE,CHA APARTMENT,False,False,2113,1.0,3.0,35.0,08B,1176241.0,1885750.0,2005,02/28/2018 03:56:25 PM,41.841855999,-87.628741678,"(41.841855999, -87.628741678)"
47,10268476,HY455763,10/09/2015 04:30:00 PM,029XX W ADDISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SMALL RETAIL STORE,False,True,1733,17.0,33.0,21.0,08B,1155975.0,1923781.0,2015,02/10/2018 03:50:01 PM,41.946648722,-87.702084879,"(41.946648722, -87.702084879)"
48,11913974,JC537599,12/06/2019 11:37:00 PM,108XX S FOREST AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,513,5.0,9.0,49.0,15,1180173.0,1833061.0,2019,12/13/2019 03:47:57 PM,41.697182543,-87.615925404,"(41.697182543, -87.615925404)"
49,2238839,HH513513,07/13/2002 09:00:00 PM,024XX W ARTHINGTON ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1135,11.0,2.0,28.0,06,1160296.0,1895970.0,2002,02/28/2018 03:56:25 PM,41.870244772,-87.686972478,"(41.870244772, -87.686972478)"
50,10960542,JA282386,05/27/2017 08:45:00 PM,030XX W HARRISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1134,11.0,28.0,27.0,14,1156193.0,1897211.0,2017,02/10/2018 03:50:01 PM,41.873733995,-87.702002425,"(41.873733995, -87.702002425)"
51,8210808,HT442950,08/11/2011 01:45:00 PM,093XX S LOWE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,2223,22.0,21.0,73.0,08A,1173612.0,1843010.0,2011,02/10/2018 03:50:01 PM,41.724631501,-87.63965452,"(41.724631501, -87.63965452)"
52,5425018,HN262755,04/02/2007 07:00:00 PM,112XX S AVENUE H,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,433,4.0,10.0,52.0,14,1202877.0,1831099.0,2007,02/28/2018 03:56:25 PM,41.691249637,-87.53286472,"(41.691249637, -87.53286472)"
53,3516626,HK535051,08/03/2004 09:38:12 PM,052XX W DIVISION ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,2532,25.0,37.0,25.0,18,1141290.0,1907494.0,2004,02/10/2018 03:50:01 PM,41.90223957,-87.756465834,"(41.90223957, -87.756465834)"
54,11435744,JB421376,09/04/2018 12:01:00 AM,054XX W LELAND AVE,0810,THEFT,OVER $500,STREET,False,False,1623,16.0,45.0,15.0,06,1139285.0,1930553.0,2018,09/11/2018 04:02:09 PM,41.965552627,-87.763267415,"(41.965552627, -87.763267415)"
55,7026964,HR432574,07/16/2009 06:15:00 PM,045XX N CLAREMONT AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,1911,19.0,47.0,4.0,08B,1159884.0,1930061.0,2009,02/28/2018 03:56:25 PM,41.963801492,-87.687542606,"(41.963801492, -87.687542606)"
56,1469842,G192777,04/05/2001 12:07:52 PM,034XX S MARSHFIELD AV,2027,NARCOTICS,POSS: CRACK,STREET,True,False,922,9.0,,,18,1165949.0,1881994.0,2001,08/17/2015 03:03:40 PM,41.83177464,-87.666616946,"(41.83177464, -87.666616946)"
57,2745846,HJ380568,05/22/2003 06:49:00 PM,067XX S CHAMPLAIN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,321,3.0,20.0,42.0,03,1181726.0,1860566.0,2003,02/28/2018 03:56:25 PM,41.772623821,-87.609392152,"(41.772623821, -87.609392152)"
58,11843265,JC451331,09/28/2019 12:50:00 AM,004XX S WELLS ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,122,1.0,25.0,32.0,08B,1174791.0,1898352.0,2019,10/05/2019 04:13:32 PM,41.8764693,-87.633685831,"(41.8764693, -87.633685831)"
59,10424920,HZ163065,02/24/2016 03:00:00 AM,056XX W DIVISION ST,0610,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,False,False,1511,15.0,29.0,25.0,05,1138706.0,1907441.0,2016,02/10/2018 03:50:01 PM,41.902141421,-87.765958681,"(41.902141421, -87.765958681)"
60,8733152,HV408150,07/29/2012 07:05:00 AM,066XX W BELDEN AVE,0560,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,2512,25.0,36.0,18.0,08A,1131563.0,1914340.0,2012,02/04/2016 06:33:39 AM,41.9211998,-87.792036506,"(41.9211998, -87.792036506)"
61,9167525,HW313011,06/08/2013 11:00:00 PM,037XX N CHRISTIANA AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,1733,17.0,33.0,16.0,06,1153388.0,1924758.0,2013,02/10/2018 03:50:01 PM,41.949381568,-87.711567904,"(41.949381568, -87.711567904)"
62,10135417,HY323929,07/01/2015 08:00:00 PM,034XX W FLOURNOY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1133,11.0,24.0,27.0,14,1153505.0,1896818.0,2015,02/10/2018 03:50:01 PM,41.87270939,-87.711881958,"(41.87270939, -87.711881958)"
63,3339991,HK381442,05/22/2004 05:30:00 PM,047XX S WOOD ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,931,9.0,20.0,61.0,08B,1165148.0,1873212.0,2004,02/10/2018 03:50:01 PM,41.807692885,-87.669804729,"(41.807692885, -87.669804729)"
64,6924255,HR329175,05/19/2009 10:55:00 AM,063XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,False,True,823,8.0,15.0,66.0,08B,1156138.0,1862630.0,2009,02/28/2018 03:56:25 PM,41.778840516,-87.703135682,"(41.778840516, -87.703135682)"
65,5670387,HN480928,07/21/2007 09:05:00 PM,067XX S CALIFORNIA AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,VEHICLE NON-COMMERCIAL,False,False,831,8.0,15.0,66.0,04B,1158870.0,1859925.0,2007,02/28/2018 03:56:25 PM,41.771362227,-87.693193691,"(41.771362227, -87.693193691)"
66,1844943,G674809,11/09/2001 09:15:07 AM,019XX N NEWCASTLE AV,0460,BATTERY,SIMPLE,RESIDENCE,False,True,2513,25.0,,,08B,1130490.0,1912121.0,2001,08/17/2015 03:03:40 PM,41.915129101,-87.796030123,"(41.915129101, -87.796030123)"
67,2090659,HH318416,04/19/2002 08:11:28 PM,051XX W BARRY AV,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,2521,25.0,,,03,1141601.0,1920126.0,2002,02/28/2018 03:56:25 PM,41.936897384,-87.755010565,"(41.936897384, -87.755010565)"
68,7076509,HR483018,08/13/2009 06:00:00 PM,051XX W GLADYS AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1533,15.0,28.0,25.0,06,1142058.0,1897853.0,2009,02/04/2016 06:33:39 AM,41.875769294,-87.753883956,"(41.875769294, -87.753883956)"
69,5421657,HN257899,03/31/2007 11:10:00 AM,012XX W 50TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,933,9.0,16.0,61.0,18,1168749.0,1871621.0,2007,02/10/2018 03:50:01 PM,41.803249957,-87.656643188,"(41.803249957, -87.656643188)"
70,8305573,HT539802,10/12/2011 06:13:00 PM,061XX S WABASH AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,311,3.0,20.0,40.0,04B,1177768.0,1864408.0,2011,02/10/2018 03:50:01 PM,41.783257178,-87.623784773,"(41.783257178, -87.623784773)"
71,11245816,JB172113,03/02/2018 11:00:00 AM,080XX S MARYLAND AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,631,6.0,8.0,44.0,08A,1183302.0,1851778.0,2018,05/04/2018 03:51:04 PM,41.748472119,-87.603888197,"(41.748472119, -87.603888197)"
72,2842456,HJ507916,07/19/2003 10:00:00 PM,036XX N CLARK ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1923,19.0,44.0,6.0,06,1168308.0,1924180.0,2003,02/10/2018 03:50:01 PM,41.947485405,-87.656741053,"(41.947485405, -87.656741053)"
73,4408417,HL702520,10/29/2005 11:28:34 AM,011XX E 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,411,4.0,8.0,45.0,08B,1185367.0,1851526.0,2005,02/28/2018 03:56:25 PM,41.747732317,-87.596329316,"(41.747732317, -87.596329316)"
74,9800169,HX449412,09/30/2014 12:15:00 PM,068XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,726,7.0,17.0,67.0,08B,1164866.0,1859359.0,2014,02/10/2018 03:50:01 PM,41.769684478,-87.671230311,"(41.769684478, -87.671230311)"
75,11240488,JB164960,02/24/2018 12:45:00 PM,011XX S CANAL ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,False,124,1.0,2.0,28.0,06,1173303.0,1895451.0,2018,05/04/2018 03:51:04 PM,41.868541914,-87.639235361,"(41.868541914, -87.639235361)"
76,2183980,HH432668,06/09/2002 09:00:00 PM,006XX N ST LOUIS AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,1121,11.0,27.0,23.0,08A,1152936.0,1904000.0,2002,02/28/2018 03:56:25 PM,41.89242883,-87.713780669,"(41.89242883, -87.713780669)"
77,2549855,HJ132195,01/17/2003 08:00:23 PM,003XX W 106TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,512,5.0,34.0,49.0,14,1175927.0,1834303.0,2003,02/28/2018 03:56:25 PM,41.700686772,-87.631434714,"(41.700686772, -87.631434714)"
78,11028619,JA360544,07/23/2017 03:40:00 PM,033XX W BELMONT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,DEPARTMENT STORE,False,True,1733,17.0,35.0,21.0,26,1153368.0,1921084.0,2017,02/10/2018 03:50:01 PM,41.939300241,-87.711739358,"(41.939300241, -87.711739358)"
79,10871221,JA177182,03/06/2017 01:30:00 PM,076XX S ESSEX AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,421,4.0,7.0,43.0,03,1194186.0,1854890.0,2017,02/10/2018 03:50:01 PM,41.756751571,-87.56390413,"(41.756751571, -87.56390413)"
80,12021811,JD199802,04/01/2020 02:30:00 AM,034XX W 116TH PL,0610,BURGLARY,FORCIBLE ENTRY,STREET,False,False,2211,22.0,19.0,74.0,05,1155590.0,1827131.0,2020,04/08/2020 03:51:48 PM,41.681436133,-87.706093087,"(41.681436133, -87.706093087)"
81,10075838,HY264926,05/15/2015 02:50:00 PM,059XX N RICHMOND ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,True,False,2011,20.0,40.0,2.0,03,1155611.0,1939310.0,2015,02/10/2018 03:50:01 PM,41.989268538,-87.703002896,"(41.989268538, -87.703002896)"
82,9400702,HW543578,11/21/2013 05:30:00 PM,014XX N WALLER AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,2531,25.0,29.0,25.0,03,1138079.0,1908908.0,2013,02/10/2018 03:50:01 PM,41.906178402,-87.768226281,"(41.906178402, -87.768226281)"
83,11786477,JC383215,08/07/2019 08:11:00 PM,019XX S HARDING AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,SIDEWALK,True,False,1014,10.0,24.0,29.0,24,1150366.0,1890159.0,2019,08/14/2019 04:17:18 PM,41.854498094,-87.723580391,"(41.854498094, -87.723580391)"
84,9621182,HX271218,05/21/2014 09:20:00 PM,096XX S EXCHANGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,431,4.0,10.0,51.0,18,1197440.0,1841527.0,2014,02/10/2018 03:50:01 PM,41.720001972,-87.552423442,"(41.720001972, -87.552423442)"
85,2281331,HH558373,08/04/2002 10:03:38 PM,014XX W 95TH ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,2222,22.0,21.0,73.0,26,1168179.0,1841735.0,2002,02/28/2018 03:56:25 PM,41.721251124,-87.65959212,"(41.721251124, -87.65959212)"
86,6411547,HP495642,08/05/2008 07:50:00 AM,094XX S PERRY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,634,6.0,21.0,49.0,07,1177269.0,1842468.0,2008,02/28/2018 03:56:25 PM,41.723062534,-87.626275325,"(41.723062534, -87.626275325)"
87,8818548,HV491877,09/25/2012 09:30:00 PM,010XX S MENARD AVE,0650,BURGLARY,HOME INVASION,RESIDENCE,False,False,1513,15.0,29.0,25.0,05,1137869.0,1895225.0,2012,02/10/2018 03:50:01 PM,41.868634278,-87.769328063,"(41.868634278, -87.769328063)"
